X;Y;Z
-884;6;434
-879;9;440
-886;3;441
-881;4;444
-881;3;441
-879;7;438
-878;4;438
-881;9;450
-879;6;442
-880;1;442
-883;8;443
-880;3;445
-884;3;442
-881;6;446
-884;11;442
-881;9;446
-884;1;437
-885;5;435
-884;4;440
-879;4;439
-878;6;435
-888;6;442
-881;2;438
-886;6;450
-886;7;442
-880;7;447
-875;5;433
-884;7;430
-879;7;435
-878;3;416
-874;10;442
-880;4;429
-882;9;436
-878;4;446
-873;8;441
-883;9;438
-880;8;439
-886;10;433
-879;7;437
-880;0;447
-885;6;441
-885;3;444
-879;3;442
-884;6;441
-880;6;441
-883;2;437
-886;4;443
-878;7;443
-885;5;441
-886;8;440
-880;3;444
-885;7;439
-885;4;440
-883;0;442
-883;5;435
-884;4;438
-881;3;434
-881;5;440
-884;5;442
-884;6;445
-880;6;436
-883;4;441
-879;6;443
-881;3;445
-879;4;441
-883;7;437
-886;8;442
-880;7;442
-882;5;445
-885;6;444
-883;6;443
-881;5;442
-884;4;438
-886;1;427
-881;6;446
-879;5;439
-884;11;440
-881;5;445
-881;2;443
-881;1;444
-883;8;444
-884;5;433
-884;8;436
-883;8;442
-880;6;441
-883;4;438
-879;7;437
-885;5;448
-884;5;442
-885;7;446
-878;6;438
-884;7;440
-883;3;439
-880;6;440
-884;4;440
-881;3;445
-880;3;442
-882;8;446
-882;8;438
-882;5;441
-879;1;436
-881;6;442
-879;1;431
-880;0;438
-883;4;443
-881;6;443
-884;6;439
-883;6;438
-880;6;439
-882;4;436
-884;6;439
-883;5;434
-900;6;455
-882;5;435
-899;1;440
-880;7;436
-884;4;444
-883;7;452
-883;2;436
-881;0;441
-882;5;446
-883;4;445
-883;3;444
-881;3;440
-884;5;439
-878;7;440
-884;6;435
-881;7;440
-883;11;441
-880;4;439
-882;7;443
-885;7;436
-886;5;442
-882;6;441
-883;5;438
-877;7;441
-882;6;440
-878;5;441
-879;2;442
-883;3;435
-885;7;443
-883;0;439
-879;5;440
-883;8;436
-883;9;435
-877;8;442
-880;4;437
-878;10;442
-884;4;438
-876;6;439
-886;8;442
-883;6;440
-886;3;442
-885;5;442
-883;9;443
-881;4;445
-881;4;443
-882;5;440
-882;4;436
-888;7;440
-880;3;435
-879;4;441
-879;5;433
-881;10;439
-884;4;437
-882;7;435
-885;3;444
-882;6;435
-884;4;446
-881;3;441
-878;1;434
-886;6;437
-879;5;436
-882;2;439
-902;4;439
-891;6;439
-886;9;444
-885;8;440
-882;5;449
-881;2;443
-884;3;445
-879;5;436
-881;6;437
-885;5;441
-886;0;438
-882;7;444
-885;6;440
-885;6;443
-882;8;440
-883;8;448
-882;4;439
-881;4;444
-883;4;438
-883;4;440
-884;5;436
-880;4;450
-881;4;438
-878;5;442
-881;2;437
-887;7;442
-884;11;443
-883;3;434
-878;4;438
-882;7;441
-880;7;434
-881;3;441
-882;3;440
-885;2;438
-884;4;442
-884;4;445
-880;3;434
-880;8;440
-881;4;445
-883;7;447
-881;0;438
-881;4;436
-883;4;443
-879;5;441
-883;6;443
-884;6;444
-885;2;435
-879;4;438
-886;8;442
-879;6;446
-884;0;434
-881;4;439
-880;8;441
-885;5;437
-882;7;436
-884;9;435
-881;6;443
-881;4;442
-882;9;442
-882;6;446
-882;5;443
-883;4;438
-882;4;438
-882;7;439
-885;4;444
-886;5;438
-884;1;437
-881;5;446
-885;7;442
-886;6;438
-884;6;438
-880;5;446
-881;4;440
-884;6;440
-884;3;447
-884;7;439
-882;7;438
-882;6;445
-879;8;442
-883;4;443
-880;3;437
-883;7;438
-883;5;444
-882;4;444
-885;5;439
-882;8;440
-882;4;438
-879;7;437
-882;7;442
-886;5;438
-884;9;440
-882;8;448
-884;0;438
-881;9;438
-885;4;440
-882;7;442
-880;4;437
-881;9;443
-882;5;442
-884;8;445
-886;11;438
-884;5;438
-885;4;440
-884;3;442
-881;7;444
-883;9;449
-882;4;439
-883;3;442
-879;4;442
-880;2;438
-883;7;440
-885;2;442
-879;6;439
-886;7;443
-883;4;437
-880;3;445
-882;9;435
-884;4;438
-886;3;447
-882;5;437
-877;5;447
-877;7;449
-880;6;433
-884;5;445
-883;7;437
-887;7;443
-884;6;447
-882;10;448
-882;3;438
-883;6;450
-879;6;446
-881;5;439
-879;4;440
-882;4;441
-884;4;433
-881;3;445
-883;3;444
-884;5;446
-884;2;438
-880;4;441
-883;4;439
-879;7;443
-883;6;439
-881;4;439
-884;6;440
-878;3;442
-884;0;434
-887;7;445
-889;3;444
-882;3;439
-886;5;438
-884;6;444
-880;5;436
-886;6;441
-885;6;443
-879;7;437
-883;4;434
-880;6;443
-884;7;442
-882;6;440
-883;6;440
-885;8;444
-882;8;441
-886;4;448
-882;5;440
-880;6;446
-885;3;443
-882;6;441
-881;8;438
-885;8;444
-881;7;437
-883;5;443
-881;4;441
-882;8;441
-883;3;436
-881;5;441
-881;4;437
-884;4;438
-884;8;437
-884;3;441
-880;9;439
-881;6;439
-886;3;436
-880;4;442
-883;7;438
-881;10;441
-881;6;437
-881;7;438
-881;8;443
-884;6;442
-880;4;436
-885;2;440
-882;7;444
-884;6;441
-883;8;437
-885;2;445
-879;1;434
-885;8;444
-880;6;440
-882;5;446
-882;1;436
-882;6;441
-881;11;433
-877;3;440
-886;8;446
-889;2;444
-882;7;439
-882;4;442
-882;6;439
-881;4;441
-881;8;437
-886;0;442
-881;3;442
-884;10;441
-880;9;442
-880;7;447
-885;5;440
-883;5;444
-886;3;439
-880;8;435
-887;4;444
-885;9;447
-881;8;442
-886;6;442
-857;5;433
-837;23;419
-858;17;430
-869;0;439
-890;9;441
-879;1;443
-879;5;436
-885;11;435
-884;3;442
-889;4;437
-880;6;438
-880;3;439
-910;10;460
-884;-4;465
-882;5;448
-887;8;444
-884;8;438
-882;3;440
-888;3;452
-886;1;443
-882;10;438
-879;10;440
-883;3;438
-884;1;442
-885;4;443
-882;11;440
-882;8;438
-881;6;437
-884;1;436
-881;8;439
-880;2;439
-882;6;436
-883;3;442
-881;6;438
-884;10;444
-882;3;433
-878;8;443
-883;7;447
-882;5;438
-883;2;443
-879;4;440
-880;2;441
-879;6;438
-886;5;440
-889;6;437
-883;5;439
-880;3;435
-884;4;447
-877;5;433
-884;8;449
-877;5;439
-881;5;441
-886;4;436
-880;2;444
-885;5;444
-880;6;442
-881;4;443
-885;2;448
-876;5;438
-873;9;445
-878;4;433
-876;8;444
-880;2;435
-879;10;438
-879;6;440
-884;5;444
-880;3;434
-886;2;436
-884;8;445
-879;8;439
-883;5;443
-885;5;444
-883;7;438
-880;7;441
-881;5;439
-881;6;448
-884;6;437
-882;5;438
-883;4;444
-880;5;438
-881;7;445
-882;5;445
-884;3;441
-884;5;441
-882;5;438
-881;5;443
-882;8;439
-885;2;446
-886;6;435
-877;5;444
-881;4;440
-885;6;442
-885;7;436
-881;5;446
-881;4;444
-878;5;441
-879;9;436
-882;4;436
-883;6;443
-885;3;442
-884;6;442
-881;7;440
-883;9;433
-882;6;442
-879;5;453
-884;7;437
-884;5;453
-887;6;443
-883;7;437
-882;6;437
-883;7;443
-881;5;445
-883;5;441
-886;5;447
-880;2;438
-883;7;438
-883;3;444
-883;9;443
-881;3;440
-882;4;439
-877;4;433
-883;9;442
-885;5;434
-882;7;441
-880;5;444
-884;8;437
-880;6;439
-881;7;438
-860;5;433
-890;1;422
-886;7;430
-883;4;444
-880;6;436
-883;6;450
-883;5;437
-880;7;445
-886;5;440
-885;8;442
-883;4;442
-880;5;444
-881;5;439
-884;8;438
-882;5;444
-881;5;441
-880;3;442
-880;2;441
-882;5;452
-881;6;444
-884;4;442
-879;7;445
-879;7;441
-885;9;443
-883;2;439
-880;8;440
-885;5;442
-882;4;447
-883;7;433
-878;3;446
-878;2;440
-884;2;450
-885;0;453
-883;11;435
-882;6;436
-883;5;437
-896;6;447
-892;4;435
-877;2;449
-877;3;453
-882;6;443
-884;6;439
-881;1;443
-879;5;443
-882;5;437
-879;8;438
-882;6;442
-879;4;438
-882;6;440
-882;10;438
-905;8;427
-881;3;449
-886;5;445
-879;2;442
-880;11;447
-882;3;436
-883;8;441
-880;4;444
-877;3;435
-879;12;432
-881;3;435
-880;8;440
-879;5;440
-881;5;438
-882;6;441
-879;4;444
-879;6;442
-884;4;439
-882;6;443
-881;4;444
-881;5;437
-884;7;434
-882;9;445
-885;12;445
-884;6;437
-876;8;439
-883;3;437
-883;6;442
-884;8;440
-879;5;441
-881;8;440
-876;6;444
-884;6;440
-882;4;438
-883;2;435
-885;9;442
-879;7;439
-883;5;443
-882;8;441
-885;3;446
-881;2;440
-879;6;447
-880;6;438
-882;4;436
-882;1;436
-881;5;437
-885;7;441
-883;7;438
-883;5;440
-881;7;438
-883;4;446
-883;5;439
-881;9;438
-878;3;442
-883;7;439
-884;6;441
-883;8;443
-881;2;440
-883;7;439
-881;2;444
-882;5;442
-880;9;442
-882;4;436
-879;10;438
-882;4;438
-882;9;439
-883;4;436
-881;6;445
-879;8;439
-882;5;442
-881;8;442
-883;5;440
-880;4;442
-879;6;442
-880;3;442
-881;3;440
-883;0;437
-882;5;446
-883;8;435
-884;3;440
-878;5;431
-884;11;444
-881;3;446
-882;1;441
-882;3;441
-884;7;440
-886;6;442
-883;3;440
-879;7;438
-877;8;441
-881;4;442
-881;9;439
-880;5;437
-884;8;445
-881;5;438
-879;7;443
-882;8;445
-881;6;444
-880;7;439
-887;6;442
-880;5;437
-885;5;444
-883;8;440
-881;7;441
-881;9;437
-878;1;443
-883;8;442
-880;4;442
-883;4;441
-887;5;444
-882;10;432
-881;7;437
-883;6;437
-883;6;440
-881;4;438
-880;5;441
-879;4;436
-881;4;438
-878;7;437
-884;6;446
-883;5;446
-879;6;439
-881;5;444
-882;4;445
-884;7;437
-882;2;436
-884;4;440
-882;5;441
-880;4;440
-882;7;438
-878;6;441
-883;7;441
-884;9;438
-882;5;442
-883;5;444
-884;8;439
-878;5;441
-882;6;444
-880;2;439
-882;4;439
-884;5;434
-881;5;440
-884;6;436
-880;5;445
-883;5;442
-883;5;441
-882;6;432
-879;8;442
-881;4;437
-884;5;441
-881;2;438
-882;8;447
-884;2;442
-878;6;439
-883;7;439
-880;5;435
-878;5;439
-880;6;440
-881;5;442
-881;7;447
-881;8;441
-881;8;444
-880;5;439
-884;1;437
-885;4;443
-883;6;444
-884;6;445
-881;8;442
-881;7;441
-883;2;442
-880;4;443
-883;4;441
-884;5;442
-876;8;439
-884;3;440
-879;6;440
-876;10;445
-880;6;438
-886;8;444
-888;7;445
-885;4;440
-883;7;440
-885;5;445
-881;8;448
-882;1;442
-885;8;439
-882;3;440
-882;7;447
-883;10;441
-884;4;438
-882;6;440
-882;9;438
-887;6;437
-884;5;437
-883;3;438
-886;3;436
-881;5;441
-880;4;441
-882;5;445
-883;8;441
-879;5;437
-880;6;443
-884;9;440
-883;7;436
-884;5;445
-883;5;440
-885;6;441
-882;7;438
-882;5;435
-882;10;441
-877;2;443
-881;3;443
-883;5;435
-880;4;445
-884;4;444
-887;6;443
-884;5;441
-882;2;440
-881;2;441
-882;8;440
-880;4;442
-880;5;439
-882;3;443
-883;6;446
-880;7;446
-881;3;442
-884;8;440
-885;3;440
-883;4;440
-878;7;438
-878;7;433
-883;7;437
-881;7;438
-879;4;439
-884;8;440
-880;9;437
-889;7;439
-877;1;441
-882;4;440
-880;5;441
-881;9;438
-884;5;443
-880;5;440
-879;4;447
-882;4;442
-878;5;438
-882;4;438
-882;7;436
-878;5;441
-883;5;438
-881;7;441
-876;4;434
-885;5;444
-883;2;442
-882;3;441
-879;7;440
-886;6;438
